lyrics_id,lyrics_title,primary_ep_url,has_in_app_playback,sc_catalog_listen_source,sc_catalog_listen_url,sc_catalog_track_title
L-395,We Ain't Ghouls,,,export_title,https://soundcloud.com/bananasutra/we-aint-ghouls-apes-gone-wrong-revolt-now-series-blowsutra-chanson-burlesque,We Ain't Ghouls - Apes Gone Wrong (Revolt Now) Series - BLOWsutra Chanson BURLESQUE
L-207,Revolution's Lit,,,export_title,https://soundcloud.com/bananasutra/side-b-05-revolutions-lit-this-aint-fiction-blowsutra-revolt-now-jazzy-indie-5,Side B [05] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Jazzy INDIE
L-1,7 Dirty Words,,yes,full_v4,https://soundcloud.com/bananasutra/7-dirty-words-o-inspired-by,7 Dirty Words • inspired by George Carlin • Banger BANJO FOLK
L-280,Waldo's Atheist Tango,,,export_title,https://soundcloud.com/bananasutra/6-waldos-atheist-tango-ibyn-jazz-6,[6] Waldo's Atheist Tango ☰ IBYN JAZZ
L-143,Liberty,,yes,full_v4,https://soundcloud.com/bananasutra/liberty-o-tribute-to-victor,Liberty • Tribute to Victor Hugo’s Revolutionary Poetry • DUBsutra
L-412,I Think About...,,yes,full_v4,https://soundcloud.com/bananasutra/what-u-think-about-o-introvert,(what u) think about? • (introvert) FOLKsutra
L-153,Making Songs Like...,,yes,full_v4,https://soundcloud.com/bananasutra/making-songs-like-others,making songs like…
L-356,Weary Blues,,,export_title,https://soundcloud.com/bananasutra/the-weary-blues-a-poem-by-monsieur-hughes,"The Weary Blues, a poem by monsieur Hughes"
L-220,She Wears The Words,,yes,full_v4,https://soundcloud.com/bananasutra/she-wears-the-words-o,She Wears the Words • JAZZsutra Mighty Poetry Minute
L-257,The Tyranny of Ignorance,,yes,full_v4,https://soundcloud.com/bananasutra/the-tyranny-of-ignorance-banjosutra,The Tyranny of Ignorance : BANJOsutra (Single Duck Release)
L-122,Kamala Has A Dream,,yes,full_v4,https://soundcloud.com/bananasutra/kamala-has-a-dream-and-that,Kamala has a dream (and that duck just blows) • bananasutraBLUES
L-245,The Ducktator (Lament),,,full_v4,https://soundcloud.com/bananasutra/the-ducktator-lament-o-thats,The Ducktator (lament) • That’s All Folks • BananasutraDUCK (yuck)
L-76,Flow Like Water (My Friend),,yes,full_v4,https://soundcloud.com/bananasutra/flow-like-water-my-friend,"Flow like Water, My Friend"
L-415,Bully,,,export_title,https://soundcloud.com/bananasutra/project-2-0-2-5-o-bully,Project 2-0-2-5 • Bully FOLKsutra
L-142,Liars,,,full_v4,https://soundcloud.com/bananasutra/liars-o-piano-indiesutra,Liars • Piano INDIEsutra
L-355,Why Are Kids Allowed To Die? (Why War?),,,full_v4,https://soundcloud.com/bananasutra/predators-why-kids-are-allowed-to-die-bass-jazzsutra,Predators (why Kids Are Allowed To Die • BASS JAZZsutra
L-100,Hide Your Pets,,,export_title,https://soundcloud.com/bananasutra/hide-your-pets-donold-said-o,Hide your pets (DonOld said!) • Blessed be Banjo au Lavabo • bananasutraBLUEGRASS
L-314,What Justifies The Pain?,,,full_v4,https://soundcloud.com/bananasutra/what-justifies-the-pain-o,What Justifies The Pain? • KNOWsutra Gipsy Peace FOLK
L-23,Banana Jokes Making Us Laugh,,yes,full_v4,https://soundcloud.com/bananasutra/banana-jokes-making-us-laugh-psychedelic-dub,"Banana Jokes, Making Us Laugh • Psychedelic DUBsutra"
L-414,"Happy Birthday, Dear Dreamer Friend",,,full_v4,https://soundcloud.com/bananasutra/happy-birthday-dear-dreamer,"Happy Birthday, Dear Dreamer Friend • Psychedelic GLOWsutra Folk Country Birthday BANJO Love"
L-308,Win-Win In Unity,,,export_title,https://soundcloud.com/bananasutra/f-the-duck-winners-are-found,Win-Win in Unity (F the Duck) • Banjo Hip Hop • Bananasutra(BLOW)
L-249,The Grazed Duck Luck,,,full_v4,https://soundcloud.com/bananasutra/grazed-duck-luck-o-sutrablow,That Grazed Duck’s Luck • Jazzy Bluesy Folk • sutraBLOW
